,x_mean_PSD,x_max_PSD_f,x_max_PSD,x_PSD_above_20,y_mean_PSD,y_max_PSD_f,y_max_PSD,y_PSD_above_20,z_mean_PSD,z_max_PSD_f,z_max_PSD,z_PSD_above_20,surface
98,(1.0864337990222308+0j),10.01001001001001,(45.82679158450698+0j),1,(1.5632413047734273+0j),10.61061061061061,(16.601948795141737+0j),0,(6.237588956058296+0j),12.912912912912912,(75.54173655750397+0j),21,AS
99,(0.905161558329763+0j),10.989010989010989,(11.92007269366338+0j),0,(1.5246462850171534+0j),13.086913086913087,(23.061203003304794+0j),1,(6.572332709036641+0j),11.08891108891109,(96.47172706139523+0j),19,AS
100,(1.4078613865633236+0j),14.8,(11.636564277415918+0j),0,(2.171645654914576+0j),10.600000000000001,(21.074642035951634+0j),1,(8.276737774410416+0j),12.700000000000001,(101.5731112344678+0j),25,AS
101,(1.0346082537890118+0j),12.3,(11.627047776634344+0j),0,(1.265045263064223+0j),10.600000000000001,(18.79988292099325+0j),0,(6.2554694486938764+0j),10.200000000000001,(78.34311502237524+0j),17,AS
102,(1.4841049183139425+0j),10.700000000000001,(14.426815993333268+0j),0,(2.297602368332474+0j),14.100000000000001,(29.529215334752237+0j),3,(10.392584899184598+0j),10.5,(227.15931790826235+0j),26,AS
103,(1.0874960690440167+0j),10.700000000000001,(16.797854368996216+0j),0,(2.939485916854718+0j),11.3,(31.763095210088036+0j),6,(8.779219481039886+0j),12.8,(242.1311724616567+0j),25,AS
104,(1.3272923390894016+0j),11.0,(20.503363565107566+0j),1,(3.875257040865164+0j),10.3,(56.05705393970758+0j),13,(5.830512274022018+0j),11.4,(69.00746206977128+0j),16,AS
105,(2.6477573239646732+0j),10.11011011011011,(43.21690150874208+0j),3,(4.70866087393851+0j),12.212212212212211,(41.79136222674237+0j),8,(13.44068051209958+0j),13.413413413413412,(173.21421885194624+0j),41,AS
106,(1.8625050402972796+0j),10.100000000000001,(20.42878193651214+0j),1,(3.7305695616283985+0j),11.0,(29.270041839305307+0j),8,(13.177238815802385+0j),10.700000000000001,(145.086226225225+0j),35,AS
107,(2.233764081926613+0j),10.58941058941059,(31.038769913152382+0j),2,(4.514852481205793+0j),13.386613386613387,(44.900118893684834+0j),8,(11.61962806289225+0j),12.187812187812188,(97.35588415891363+0j),36,AS
108,(2.529300969269614+0j),10.200000000000001,(48.44742423064349+0j),4,(4.863386585258864+0j),13.100000000000001,(54.17859763508706+0j),8,(11.187258633415471+0j),11.600000000000001,(178.28317375250668+0j),27,AS
109,(2.7660312579565636+0j),11.3,(37.80470537799958+0j),5,(5.116894427562553+0j),10.9,(51.42342333635183+0j),10,(12.54971828088167+0j),13.8,(196.06828343314183+0j),36,AS
110,(1.6808433790400648+0j),10.01001001001001,(39.94437531003389+0j),1,(4.100431914015338+0j),12.912912912912912,(60.54778085631023+0j),7,(10.280953868023328+0j),12.812812812812812,(107.3674733398096+0j),31,AS
111,(0.8499524681714449+0j),11.18881118881119,(8.934453828060123+0j),0,(2.2436516667550386+0j),11.18881118881119,(36.97874320121755+0j),5,(5.06623745852249+0j),12.587412587412588,(115.20057111511622+0j),10,AS
112,(0.8398713345304042+0j),11.611611611611611,(12.689350173549029+0j),0,(1.3730021588932158+0j),10.21021021021021,(16.810815503373746+0j),0,(5.0212705185870465+0j),10.11011011011011,(90.04603676895977+0j),8,AS
113,(1.7723100301073942+0j),11.9,(47.49400294816852+0j),3,(2.405481862132171+0j),13.4,(25.794034597602423+0j),1,(8.333906360225736+0j),10.4,(237.30854738024124+0j),25,AS
114,(1.0204686637167395+0j),11.08891108891109,(21.871471079550822+0j),1,(1.2609019307340072+0j),10.989010989010989,(13.559382139808054+0j),0,(4.656510617759388+0j),11.08891108891109,(41.451863083313626+0j),8,AS
115,(1.1112002638189318+0j),11.0,(13.776778158660672+0j),0,(1.792488323337184+0j),10.200000000000001,(20.404398045815178+0j),1,(5.211058743105778+0j),12.200000000000001,(75.28854046349618+0j),13,AS
116,(0.9011490528829191+0j),11.5,(14.372499973248754+0j),0,(1.8874641084275772+0j),11.5,(40.92844692386308+0j),3,(7.2884420061001745+0j),11.3,(99.59935324470052+0j),24,AS
117,(1.2044781204153976+0j),10.9,(24.22946210959218+0j),1,(1.8831663668984409+0j),11.600000000000001,(21.512960326093676+0j),1,(5.838833606995146+0j),10.8,(87.58196696719259+0j),17,AS
118,(1.5879524945450203+0j),10.100000000000001,(24.121224408669338+0j),1,(3.5636159720925003+0j),10.0,(30.74296488371142+0j),4,(9.406087711525606+0j),10.100000000000001,(122.79019704847244+0j),28,AS
119,(8.133269813998812+0j),13.286713286713287,(73.94607240320468+0j),25,(19.962095911554897+0j),13.386613386613387,(160.13867118015278+0j),55,(44.6703255203057+0j),10.38961038961039,(612.433269910004+0j),96,KO
120,(6.416886231390915+0j),10.600000000000001,(80.7593538450986+0j),19,(10.963730694094824+0j),14.3,(137.3905997507994+0j),31,(29.504910717489643+0j),12.0,(365.7923788951924+0j),70,KO
121,(7.365126033992851+0j),10.9,(65.36089570735152+0j),24,(15.41793033280097+0j),10.700000000000001,(135.47408573259926+0j),46,(35.04406248806403+0j),11.600000000000001,(354.4518599192108+0j),78,KO
122,(9.643600251244337+0j),10.81081081081081,(167.94226402062944+0j),24,(19.503478646228594+0j),14.014014014014013,(183.6278904523714+0j),56,(52.74523505558187+0j),11.911911911911911,(689.678368490191+0j),118,KO
123,(7.4132302923021145+0j),11.08891108891109,(66.27906303057031+0j),22,(12.402369458726964+0j),10.48951048951049,(132.48548733722842+0j),42,(26.021080617339358+0j),10.08991008991009,(176.35329643397586+0j),76,KO
124,(5.926278528129185+0j),12.700000000000001,(54.35398543977557+0j),18,(11.912527656922455+0j),15.5,(101.3078392150547+0j),35,(34.80707409764545+0j),13.4,(363.0743733328353+0j),78,KO
125,(8.226209810611019+0j),14.0,(91.90169592587867+0j),28,(14.637692427616196+0j),14.0,(147.448492108965+0j),50,(42.21268865701319+0j),12.200000000000001,(397.0754370104588+0j),88,KO
126,(8.253447132981135+0j),10.3,(128.08997857855263+0j),22,(13.240025478237623+0j),14.8,(128.60901914104633+0j),46,(43.940775651788876+0j),13.700000000000001,(330.67606198572764+0j),87,KO
127,(9.021698631034491+0j),12.700000000000001,(103.49658478942906+0j),28,(16.222630970014603+0j),11.200000000000001,(213.32521342146384+0j),43,(39.78297482277844+0j),12.200000000000001,(365.8100485657708+0j),81,KO
128,(5.748572056324517+0j),12.5,(53.8492162955176+0j),16,(14.367476637797097+0j),11.0,(131.17462426034905+0j),44,(40.93405087623753+0j),12.0,(631.4413611265223+0j),86,KO
129,(5.023594976665583+0j),10.8,(41.92044594777583+0j),13,(9.854892571718691+0j),11.8,(116.92585384335916+0j),23,(24.711647790727195+0j),13.0,(240.8249633288232+0j),65,KO
